Index,Zip Code,Students Standard Exceeded_math2021,Students Standard Met_math2021,Students Standard Met and Above_math2021,Students Standard Nearly Met_math2021,Students Standard Not Met_math2021,Students with Scores_math2021,Percentage Standard Exceeded_math2021,Percentage Standard Met_math2021,Percentage Standard Met and Above_math2021,Percentage Standard Nearly Met_math2021,Percentage Standard Not Met_math2021,Median Mortgage
159,91504,72,83,155,106,88,349,20.63037249,23.78223496,44.41260745,30.37249284,25.21489971,819100
160,91505,88,146,234,168,120,522,16.85823755,27.96934866,44.82758621,32.18390805,22.98850575,812500
161,91506,124,150,274,196,179,649,19.10631741,23.11248074,42.21879815,30.20030817,27.58089368,850600
162,91601,178,94,272,125,230,627,28.3891547,14.99202552,43.38118022,19.93620415,36.68261563,744500
163,91701,122,136,258,120,83,461,26.46420824,29.5010846,55.96529284,26.03036876,18.00433839,577200
164,91706,407,770,1177,1636,3411,6224,6.539203085,12.3714653,18.91066838,26.28534704,54.80398458,465900
165,91709,50,42,92,58,42,192,26.04166667,21.875,47.91666667,30.20833333,21.875,676800
166,91711,57,44,101,26,14,141,40.42553191,31.20567376,71.63120567,18.43971631,9.929078014,714400
167,91724,44,65,109,76,50,235,18.72340426,27.65957447,46.38297872,32.34042553,21.27659574,613400
168,91737,145,133,278,88,69,435,33.33333333,30.57471264,63.90804598,20.22988506,15.86206897,659500
169,91739,80,119,199,141,126,466,17.16738197,25.53648069,42.70386266,30.25751073,27.03862661,648400
170,91744,32,57,89,85,130,304,10.52631579,18.75,29.27631579,27.96052632,42.76315789,463200
171,91746,18,27,45,38,95,178,10.11235955,15.16853933,25.28089888,21.34831461,53.37078652,488400
172,91748,103,84,187,71,121,379,27.176781,22.16358839,49.34036939,18.73350923,31.92612137,663600
173,91750,0,0,0,0,25,25,0,0,0,0,100,630400
174,91754,16,45,61,58,76,195,8.205128205,23.07692308,31.28205128,29.74358974,38.97435897,687700
175,91755,90,68,158,127,281,566,15.90106007,12.01413428,27.91519435,22.43816254,49.64664311,639900
176,91761,24,53,77,53,58,188,12.76595745,28.19148936,40.95744681,28.19148936,30.85106383,452900
177,91762,70,135,205,204,273,682,10.26392962,19.79472141,30.05865103,29.91202346,40.02932551,437700
178,91763,43,71,114,70,115,299,14.3812709,23.7458194,38.1270903,23.41137124,38.46153846,423700
179,91764,0,1,1,3,10,14,0,7.142857143,7.142857143,21.42857143,71.42857143,415600
180,91765,254,120,374,64,46,484,52.47933884,24.79338843,77.27272727,13.2231405,9.504132231,709800
181,91766,15,43,58,129,309,496,3.024193548,8.669354839,11.69354839,26.00806452,62.2983871,452700
182,91767,15,47,62,116,375,553,2.712477396,8.499095841,11.21157324,20.97649186,67.8119349,449500
183,91768,22,45,67,69,40,176,12.5,25.56818182,38.06818182,39.20454545,22.72727273,427500
184,91770,39,43,82,44,54,180,21.66666667,23.88888889,45.55555556,24.44444444,30,601300
185,91773,6,5,11,4,13,28,21.42857143,17.85714286,39.28571429,14.28571429,46.42857143,625400
186,91776,92,52,144,40,45,229,40.17467249,22.70742358,62.88209607,17.46724891,19.65065502,698900
187,91789,238,117,355,79,68,502,47.41035857,23.30677291,70.71713147,15.73705179,13.54581673,790500
188,91905,2,9,11,25,48,84,2.380952381,10.71428571,13.0952381,29.76190476,57.14285714,280400
189,91906,4,30,34,54,179,267,1.498127341,11.23595506,12.7340824,20.2247191,67.0411985,282800
190,91910,668,750,1418,1040,1334,3792,17.61603376,19.77848101,37.39451477,27.42616034,35.17932489,549100
191,91911,48,210,258,295,503,1056,4.545454545,19.88636364,24.43181818,27.93560606,47.63257576,485300
192,91913,205,313,518,296,211,1025,20,30.53658537,50.53658537,28.87804878,20.58536585,578600
193,91914,310,275,585,284,276,1145,27.07423581,24.01746725,51.09170306,24.80349345,24.10480349,739300
194,91915,173,165,338,137,81,556,31.11510791,29.67625899,60.79136691,24.64028777,14.56834532,604600
195,91916,4,24,28,28,43,99,4.04040404,24.24242424,28.28282828,28.28282828,43.43434343,479600
196,91932,64,152,216,377,859,1452,4.407713499,10.46831956,14.87603306,25.96418733,59.15977961,639200
197,91935,19,36,55,47,87,189,10.05291005,19.04761905,29.1005291,24.86772487,46.03174603,681300
198,91941,34,61,95,108,110,313,10.86261981,19.48881789,30.3514377,34.50479233,35.14376997,684900
199,91942,20,32,52,30,50,132,15.15151515,24.24242424,39.39393939,22.72727273,37.87878788,578600
