Index,Zip Code,Students Standard Exceeded_english2021,Students Standard Met_english2021,Students Standard Met and Above_english2021,Students Standard Nearly Met_english2021,Students Standard Not Met_english2021,Students with Scores_english2021,Percentage Standard Exceeded_english2021,Percentage Standard Met_english2021,Percentage Standard Met and Above_english2021,Percentage Standard Nearly Met_english2021,Percentage Standard Not Met_english2021,Median Mortgage
46,90066,113,120,233,71,57,361,31.30193906,33.24099723,64.54293629,19.66759003,15.78947368,1282100
47,90201,424,826,1250,853,1668,3771,11.24370194,21.90400424,33.14770618,22.6199947,44.23229912,440500
48,90210,138,85,223,38,42,303,45.54455446,28.05280528,73.59735974,12.54125413,13.86138614,2000000
49,90211,157,94,251,64,40,355,44.22535211,26.47887324,70.70422535,18.02816901,11.26760563,2000000
50,90212,410,370,780,149,117,1046,39.19694073,35.37284895,74.56978967,14.24474187,11.18546845,2000000
51,90230,793,826,1619,496,384,2499,31.73269308,33.05322129,64.78591437,19.84793918,15.36614646,849200
52,90232,136,127,263,108,144,515,26.40776699,24.66019417,51.06796117,20.97087379,27.96116505,1219100
53,90245,687,602,1289,290,193,1772,38.76975169,33.97291196,72.74266366,16.36568849,10.89164786,1244200
54,90248,40,89,129,85,71,285,14.03508772,31.22807018,45.26315789,29.8245614,24.9122807,571200
55,90250,176,210,386,176,192,754,23.34217507,27.85145889,51.19363395,23.34217507,25.46419098,661400
56,90255,158,244,402,200,204,806,19.60297767,30.27295285,49.87593052,24.81389578,25.3101737,455000
57,90260,182,298,480,250,356,1086,16.7587477,27.44014733,44.19889503,23.02025783,32.78084715,597300
58,90262,459,1265,1724,1447,2894,6065,7.56801319,20.8573784,28.42539159,23.8582028,47.71640561,449600
59,90265,56,28,84,10,27,121,46.28099174,23.14049587,69.4214876,8.26446281,22.31404959,2000000
60,90266,46,25,71,7,1,79,58.2278481,31.64556962,89.87341772,8.860759494,1.265822785,2000000
61,90270,58,105,163,90,104,357,16.2464986,29.41176471,45.65826331,25.21008403,29.13165266,481800
62,90280,336,500,836,475,498,1809,18.57379768,27.63957988,46.21337756,26.25760088,27.52902156,470200
63,90291,142,60,202,31,28,261,54.40613027,22.98850575,77.39463602,11.87739464,10.72796935,1899800
64,90301,122,339,461,475,830,1766,6.908267271,19.19592299,26.10419026,26.89694224,46.9988675,547900
65,90302,216,407,623,437,663,1723,12.53627394,23.62159025,36.15786419,25.36273941,38.4793964,590000
66,90303,74,167,241,235,507,983,7.527975585,16.98880977,24.51678535,23.90640895,51.5768057,606100
67,90304,27,50,77,22,31,130,20.76923077,38.46153846,59.23076923,16.92307692,23.84615385,586600
68,90305,2,12,14,12,55,81,2.469135802,14.81481481,17.28395062,14.81481481,67.90123457,646500
69,90601,102,113,215,76,61,352,28.97727273,32.10227273,61.07954545,21.59090909,17.32954545,626500
70,90603,43,69,112,50,65,227,18.94273128,30.39647577,49.33920705,22.02643172,28.63436123,649600
71,90604,396,596,992,416,269,1677,23.61359571,35.53965414,59.15324985,24.80620155,16.0405486,591400
