zip_code,lat,lng,city,population,density,county
92071,32.85045,-116.99479,Santee,59826,1225.5,San Diego
92075,32.99735,-117.25875,Solana Beach,12234,1381.8,San Diego
92078,33.11834,-117.18554,San Marcos,53247,1231,San Diego
92081,33.16451,-117.24056,Vista,29944,1293.9,San Diego
92082,33.2518,-117.00284,Valley Center,20300,62.4,San Diego
92083,33.19808,-117.24844,Vista,38875,2705.9,San Diego
92084,33.22454,-117.20334,Vista,49759,677.9,San Diego
92086,33.29718,-116.64176,Warner Springs,1306,2.3,San Diego
92091,33.03432,-117.19704,Rancho Santa Fe,1331,398.3,San Diego
92092,32.87544,-117.23621,La Jolla,0,0,San Diego
92093,32.88219,-117.23706,La Jolla,0,0,San Diego
92096,33.12819,-117.15631,San Marcos,0,0,San Diego
92101,32.7162,-117.18589,San Diego,43096,3090.7,San Diego
92102,32.71595,-117.11749,San Diego,40083,3446.3,San Diego
92103,32.74782,-117.16738,San Diego,33873,3549.3,San Diego
92104,32.74191,-117.12781,San Diego,45773,4783.5,San Diego
92105,32.73756,-117.09193,San Diego,73085,4902.8,San Diego
92106,32.71334,-117.23617,San Diego,20889,1423.9,San Diego
92107,32.7402,-117.24357,San Diego,29753,3798.5,San Diego
92108,32.77423,-117.14097,San Diego,21995,1926.5,San Diego
92109,32.78699,-117.23273,San Diego,45333,2300.3,San Diego
92110,32.76533,-117.19965,San Diego,30318,2338,San Diego
92111,32.8065,-117.16897,San Diego,49351,2247.4,San Diego
92113,32.69591,-117.12012,San Diego,51461,4405.1,San Diego
92114,32.70778,-117.05529,San Diego,67745,3155.9,San Diego
92115,32.76154,-117.07187,San Diego,61450,3845.7,San Diego
92116,32.76484,-117.12303,San Diego,31470,3595.1,San Diego
92117,32.82493,-117.19972,San Diego,55195,2448.7,San Diego
92118,32.67466,-117.16915,Coronado,19672,987.7,San Diego
92119,32.80896,-117.03232,San Diego,24465,1438.9,San Diego
92120,32.79526,-117.07317,San Diego,29172,1466.5,San Diego
92121,32.8973,-117.20231,San Diego,4213,129.7,San Diego
92122,32.85681,-117.21017,San Diego,45676,3279.1,San Diego
92123,32.80958,-117.13419,San Diego,33035,1481.2,San Diego
92124,32.82823,-117.08528,San Diego,31593,1246.8,San Diego
92126,32.912,-117.14344,San Diego,78097,2602.5,San Diego
92127,33.01913,-117.12339,San Diego,50852,865.9,San Diego
92128,32.99687,-117.07308,San Diego,50161,1654.5,San Diego
92129,32.96354,-117.12622,San Diego,53742,1585.9,San Diego
