zip_code,district,postal_area_name,percent_of_zip_code_population_in_district
92339,25,Forest Falls,0
92341,23,Green Valley Lake,100
92342,23,Helendale,100
92344,23,Hesperia,100
92345,23,Hesperia,100
92346,23,Highland,7.652390507
92346,33,Highland,92.34760949
92347,23,Hinkley,100
92350,23,Loma Linda,100
92352,23,Lake Arrowhead,100
92354,23,Loma Linda,93.40139662
92354,33,Loma Linda,6.598603377
92356,23,Lucerne Valley,100
92358,28,Lytle Creek,100
92359,23,Mentone,18.06741573
92359,33,Mentone,81.93258427
92363,25,Needles,100
92364,23,Nipton,100
92365,23,Newberry Springs,100
92368,23,Oro Grande,100
92369,33,Patton,100
92371,23,Phelan,97.46711533
92371,28,Phelan,2.532884674
92372,23,Pinon Hills,100
92373,23,Redlands,98.90234242
92373,41,Redlands,1.097657576
92374,23,Redlands,15.57574506
92374,33,Redlands,84.42425494
92376,33,Rialto,100
92377,33,Rialto,100
92378,23,Rimforest,100
92382,23,Running Springs,100
92384,3,Shoshone,100
92385,23,Skyforest,100
92386,23,Sugarloaf,100
92389,3,Tecopa,100
92391,23,Twin Peaks,100
92392,23,Victorville,100
92394,23,Victorville,100
92395,23,Victorville,100
92397,23,Wrightwood,9.717411121
92397,28,Wrightwood,90.28258888
92398,23,Yermo,100
92399,23,Yucaipa,98.80453095
92399,41,Yucaipa,1.195469047
92401,33,San Bernardino,100
92404,23,San Bernardino,3.223899175
92404,33,San Bernardino,96.77610082
92405,33,San Bernardino,100
92407,23,San Bernardino,7.094405285
92407,28,San Bernardino,0.191700829
92407,33,San Bernardino,92.71389389
92408,33,San Bernardino,100
92410,33,San Bernardino,100
92411,33,San Bernardino,100
92415,33,San Bernardino,100
92501,39,Riverside,100
92503,39,Riverside,80.61014765
92503,41,Riverside,19.38985235
92504,39,Riverside,83.79451704
92504,41,Riverside,16.20548296
92505,39,Riverside,85.79508631
92505,41,Riverside,14.20491369
92506,39,Riverside,97.16498838
92506,41,Riverside,2.835011619
92507,39,Riverside,100
92508,39,Riverside,86.63278272
92508,41,Riverside,13.36721728
92509,33,Jurupa Valley,0.031983215
92509,39,Jurupa Valley,99.96801678
92518,39,March Air Reserve Base,100
92521,39,Riverside,100
92530,40,Lake Elsinore,0.006768419
92530,41,Lake Elsinore,99.76141325
92530,48,Lake Elsinore,0.231818336
92532,41,Lake Elsinore,100
92536,25,Aguanga,9.339042012
92536,41,Aguanga,5.726518598
92536,48,Aguanga,84.93443939
92539,25,Anza,25.2919855
92539,41,Anza,63.29037455
92539,48,Anza,11.41763995
92543,25,Hemet,98.45891717
92543,41,Hemet,1.541082827
92544,25,Hemet,92.61303418
92544,41,Hemet,7.194992701
92544,48,Hemet,0.191973124
92545,25,Hemet,93.02051189
92545,41,Hemet,6.97948811
92548,41,Homeland,100
92549,25,Idyllwild,0.590458196
92549,41,Idyllwild,99.4095418
92551,39,Moreno Valley,100
92553,39,Moreno Valley,100
92555,25,Moreno Valley,0
92555,39,Moreno Valley,99.71317118
92555,41,Moreno Valley,0.286828821
92557,39,Moreno Valley,100
92557,41,Moreno Valley,0
92561,25,Mountain Center,11.4684466
92561,41,Mountain Center,88.5315534
92562,41,Murrieta,0.059125564
92562,48,Murrieta,99.91442353
92562,49,Murrieta,0.02645091
92563,41,Murrieta,14.87353873
92563,48,Murrieta,85.12646127
92567,25,Nuevo,0.123342584
92567,39,Nuevo,0
92567,41,Nuevo,99.87665742
92570,39,Perris,89.04346353
92570,41,Perris,10.95653647
92571,39,Perris,99.99327166
92571,41,Perris,0.006728343
