zipcode,Income per capita,Median household income,Poverty, Median age,Median home value,Median monthly owner cost,Total Population,White Population,Black Population,American Indian Population,Asian Population,Hispanic Population,Population identifying as 2+ races,Percent of transit public transport,Latitude,Longitude,City,County
95425,44842,81905,962,46.5,524600,2473,11144,8985,108,255,185,2922,747,28,38.81792,-123.02566,Cloverdale,Sonoma
95454,21095,35947,568,56.2,372100,2030,2165,1320,18,304,0,198,211,0,39.78063,-123.51631,Laytonville,Mendocino
95456,30711,26127,146,67.2,469000,2160,682,671,0,0,2,36,9,0,39.25851,-123.74585,Little River,Mendocino
95459,31725,52415,83,40.9,500000,2240,838,633,0,49,0,285,146,0,38.99068,-123.62627,Manchester,Mendocino
95464,19613,50764,654,39.7,116500,1319,2715,1837,103,405,59,602,44,0,39.12736,-122.84733,Nice,Lake
95493,35913,66838,14,76.3,360900,,99,90,0,0,0,9,0,0,39.20241,-122.97948,Witter Springs,Lake
95525,35592,50833,313,55.5,365400,1851,1403,1152,0,95,5,74,92,17,40.94845,-123.82629,Blue Lake,Humboldt
95526,42859,32500,59,62.1,283900,1625,210,189,0,9,0,6,12,0,40.44705,-123.6628,Bridgeville,Humboldt
95548,20078,38092,247,50.1,183300,1219,1123,637,17,342,1,185,70,0,41.58633,-124.05859,Klamath,Del Norte
95555,27639,33333,116,34.8,225000,1250,390,272,0,23,0,20,94,0,41.29519,-123.97774,Orick,Humboldt
95570,34556,51458,384,42.9,452200,2075,2599,2289,0,76,33,147,177,11,41.11375,-124.08037,Trinidad,Humboldt
95573,28171,73051,101,43.2,287900,1278,1285,1125,4,43,0,45,113,31,40.89567,-123.65873,Willow Creek,Humboldt
92509,23112,76568,9920,31.8,369700,1911,82377,38245,2464,691,3033,60945,7486,356,34.00293,-117.44547,Jurupa Valley,Riverside
92539,22633,52857,565,43.2,251400,1405,4433,3047,8,111,218,1117,371,0,33.51579,-116.64432,Anza,Riverside
92543,19086,38686,8295,37.5,159200,1290,37492,23624,4278,292,1012,19410,4264,46,33.69867,-116.97916,Hemet,Riverside
92586,27798,44179,1940,59.6,252500,1454,18615,13577,1286,148,356,4898,1405,71,33.70773,-117.20045,Menifee,Riverside
92592,40026,108412,4891,36.4,487300,2576,86115,56565,3815,539,8824,23260,9068,3,33.511,-117.0242,Temecula,Riverside
92618,56365,112054,4485,33.9,903300,4001,54509,23003,545,81,26838,4963,2648,183,33.66729,-117.73362,Irvine,Orange
92625,114669,162250,771,54.2,2000001,4001,13149,10829,265,30,1154,1104,679,0,33.60229,-117.86551,Corona Del Mar,Orange
92679,78631,182857,1037,44.6,925100,3617,32784,26386,478,77,3241,4552,2247,69,33.65274,-117.56048,Trabuco Canyon,Orange
92688,49064,116557,2704,37.6,638000,2885,44586,32611,919,180,5477,9886,3928,45,33.61737,-117.61131,Rancho Santa Margarita,Orange
92708,39145,89478,4933,44.1,776700,2792,56811,28855,241,114,20638,9834,3924,179,33.71046,-117.95132,Fountain Valley,Orange
92806,32366,77570,4710,33.7,605100,2653,40216,22478,944,565,5573,22371,4985,659,33.83884,-117.87054,Anaheim,Orange
92843,23057,70680,5930,37.5,557000,2241,47823,15468,263,463,20621,22139,2815,511,33.76399,-117.93153,Garden Grove,Orange
92870,38930,100685,4073,37.1,652800,2892,53194,35121,1304,431,8719,20150,4397,367,33.88087,-117.85522,Placentia,Orange
92004,45021,61809,154,62.2,221000,1650,2284,2042,35,0,1,607,20,0,33.18481,-116.15688,Borrego Springs,San Diego
92007,60519,107778,1937,42.1,1123700,3376,11973,9539,54,18,301,2563,1775,0,33.02216,-117.27389,Cardiff By The Sea,San Diego
92037,81845,113676,3578,45.9,1578200,4001,38261,30037,642,54,4464,4080,2643,563,32.85257,-117.25104,La Jolla,San Diego
