zipcode,Income per capita,Median household income,Poverty, Median age,Median home value,Median monthly owner cost,Total Population,White Population,Black Population,American Indian Population,Asian Population,Hispanic Population,Population identifying as 2+ races,Percent of transit public transport,Latitude,Longitude,City,County
91206,41876.0,74893.0,4899,42.3,865200.0,3117.0,33781,24875,682,3,5823,4675,1711,400,34.160759999999996,-118.21311000000001,Glendale,Los Angeles
91301,72036.0,130315.0,946,44.7,847600.0,3487.0,26021,20901,601,5,1619,3417,902,26,34.12314,-118.75685,Agoura Hills,Los Angeles
91320,52082.0,125093.0,2811,42.0,724700.0,3058.0,44667,35284,634,53,5012,7092,2829,103,34.173390000000005,-118.94795,Newbury Park,Ventura
91321,32762.0,74986.0,4651,33.6,509600.0,2595.0,34340,22233,959,219,2509,17187,3887,573,34.36479,-118.4922,Newhall,Los Angeles
91350,40634.0,113028.0,3590,36.7,567800.0,2694.0,38611,25537,1916,221,4733,11407,3753,480,34.430279999999996,-118.50283,Santa Clarita,Los Angeles
91351,33572.0,85755.0,3671,36.6,449500.0,2339.0,30746,20538,1363,493,2029,14230,2896,483,34.43269,-118.46276,Canyon Country,Los Angeles
91361,82003.0,119659.0,868,51.3,979500.0,3469.0,19953,17020,425,32,1417,1690,982,22,34.140159999999995,-118.88398000000001,Westlake Village,Ventura
91601,38857.0,57411.0,6300,33.7,710500.0,3128.0,35312,23058,2902,92,3314,12052,2679,1425,34.16827,-118.37222,North Hollywood,Los Angeles
91606,26824.0,54649.0,7715,36.6,609700.0,2465.0,45003,28747,2062,143,2026,23695,3066,1147,34.18655,-118.38866999999999,North Hollywood,Los Angeles
91732,19201.0,56098.0,9356,36.0,486000.0,2048.0,61075,19475,555,643,19524,38297,4972,1172,34.072390000000006,-118.01455,El Monte,Los Angeles
91755,28324.0,59285.0,3552,44.3,622300.0,2562.0,27254,3232,198,288,19417,6135,872,182,34.048320000000004,-118.11496000000001,Monterey Park,Los Angeles
91801,34389.0,66804.0,5460,41.2,634000.0,2524.0,54161,11179,1563,452,28655,17607,2274,875,34.09093,-118.12776000000001,Alhambra,Los Angeles
91803,29485.0,66169.0,4708,41.8,625700.0,2357.0,30093,7224,468,116,15004,11849,1453,562,34.0749,-118.14623999999999,Alhambra,Los Angeles
92551,20845.0,71947.0,4374,30.2,314800.0,1697.0,34441,10283,6414,181,1965,22199,2463,207,33.881479999999996,-117.22521,Moreno Valley,Riverside
92553,17738.0,54234.0,14243,29.2,296200.0,1571.0,74107,18717,12438,376,3041,49725,2996,224,33.92335,-117.24531999999999,Moreno Valley,Riverside
92567,29759.0,79962.0,1462,32.1,368600.0,1936.0,10012,6210,98,0,16,6728,519,0,33.82378,-117.10305,Nuevo,Riverside
92570,21024.0,62764.0,9427,31.8,299100.0,1714.0,60370,23192,2498,211,1382,45465,2411,377,33.783770000000004,-117.31737,Perris,Riverside
